offset_starttime,distance,time_offset,count,end_time,speed,deviceuuid,start_time,calorie,offset_endtime
2019-04-06 10:48:00,26.09,UTC-0300,31,2019-04-06 13:49:00.000,1.6835490000000002,jQfnryI8/B,2019-04-06 13:48:00.000,1.5100002,2019-04-06 10:49:00.000
2019-04-06 12:03:00,40.06,UTC-0300,54,2019-04-06 15:03:59.999,1.3888888,F/D7+hL5E5,2019-04-06 15:03:00.000,2.32,2019-04-06 12:03:59.999
2019-04-06 12:03:00,43.689995,UTC-0300,53,2019-04-06 15:04:00.000,1.7047627,jQfnryI8/B,2019-04-06 15:03:00.000,2.2299993,2019-04-06 12:04:00.000
2019-04-06 12:04:00,41.32,UTC-0300,61,2019-04-06 15:04:59.999,1.2777778,F/D7+hL5E5,2019-04-06 15:04:00.000,2.43,2019-04-06 12:04:59.999
2019-04-06 12:04:00,30.54,UTC-0300,39,2019-04-06 15:05:00.000,1.5380564,jQfnryI8/B,2019-04-06 15:04:00.000,1.6499997,2019-04-06 12:05:00.000
2019-04-06 12:05:00,6.97,UTC-0300,9,2019-04-06 15:06:00.000,1.25,jQfnryI8/B,2019-04-06 15:05:00.000,0.39,2019-04-06 12:06:00.000
2019-04-06 12:06:00,13.33,UTC-0300,24,2019-04-06 15:06:59.999,1.0277778,F/D7+hL5E5,2019-04-06 15:06:00.000,0.9,2019-04-06 12:06:59.999
2019-04-06 12:06:00,2.28,UTC-0300,3,2019-04-06 15:07:00.000,1.25,jQfnryI8/B,2019-04-06 15:06:00.000,0.12,2019-04-06 12:07:00.000
2019-04-06 12:08:00,6.31,UTC-0300,7,2019-04-06 15:09:00.000,2.1666667,jQfnryI8/B,2019-04-06 15:08:00.000,0.32,2019-04-06 12:09:00.000
2019-04-06 12:09:00,19.22,UTC-0300,26,2019-04-06 15:09:59.999,1.6111112,F/D7+hL5E5,2019-04-06 15:09:00.000,1.07,2019-04-06 12:09:59.999
2019-04-06 12:09:00,18.08,UTC-0300,22,2019-04-06 15:10:00.000,1.9166667,jQfnryI8/B,2019-04-06 15:09:00.000,0.95,2019-04-06 12:10:00.000
2019-04-06 12:14:00,22.99,UTC-0300,38,2019-04-06 15:14:59.999,1.1944444,F/D7+hL5E5,2019-04-06 15:14:00.000,1.44,2019-04-06 12:14:59.999
2019-04-06 12:14:00,36.03,UTC-0300,41,2019-04-06 15:15:00.000,1.9722222,jQfnryI8/B,2019-04-06 15:14:00.000,2.33,2019-04-06 12:15:00.000
2019-04-06 12:15:00,10.08,UTC-0300,12,2019-04-06 15:16:00.000,2.1666667,jQfnryI8/B,2019-04-06 15:15:00.000,0.51,2019-04-06 12:16:00.000
2019-04-06 12:17:00,54.8,UTC-0300,73,2019-04-06 15:18:00.000,1.5,jQfnryI8/B,2019-04-06 15:17:00.000,2.97,2019-04-06 12:18:00.000
2019-04-06 12:17:00,46.42,UTC-0300,68,2019-04-06 15:17:59.999,1.2222222,F/D7+hL5E5,2019-04-06 15:17:00.000,2.8,2019-04-06 12:17:59.999
2019-04-06 12:19:00,25.53,UTC-0300,29,2019-04-06 15:20:00.000,1.5,jQfnryI8/B,2019-04-06 15:19:00.000,1.63,2019-04-06 12:20:00.000
2019-04-06 12:19:00,13.54,UTC-0300,24,2019-04-06 15:19:59.999,0.9722222,F/D7+hL5E5,2019-04-06 15:19:00.000,0.89,2019-04-06 12:19:59.999
2019-04-06 12:20:00,69.05,UTC-0300,90,2019-04-06 15:21:00.000,1.3333334,jQfnryI8/B,2019-04-06 15:20:00.000,3.64,2019-04-06 12:21:00.000
2019-04-06 12:20:00,53.07,UTC-0300,82,2019-04-06 15:20:59.999,1.0555556,F/D7+hL5E5,2019-04-06 15:20:00.000,3.29,2019-04-06 12:20:59.999
2019-04-06 12:21:00,38.44,UTC-0300,47,2019-04-06 15:22:00.000,1.6944444,jQfnryI8/B,2019-04-06 15:21:00.000,2.21,2019-04-06 12:22:00.000
2019-04-06 12:21:00,44.76,UTC-0300,68,2019-04-06 15:21:59.999,1.0833334,F/D7+hL5E5,2019-04-06 15:21:00.000,2.75,2019-04-06 12:21:59.999
2019-04-06 12:22:00,70.36,UTC-0300,89,2019-04-06 15:23:00.000,1.5,jQfnryI8/B,2019-04-06 15:22:00.000,3.67,2019-04-06 12:23:00.000
2019-04-06 12:22:00,53.84,UTC-0300,86,2019-04-06 15:22:59.999,0.9722222,F/D7+hL5E5,2019-04-06 15:22:00.000,3.47,2019-04-06 12:22:59.999
2019-04-06 12:23:00,47.65,UTC-0300,77,2019-04-06 15:23:59.999,1.0,F/D7+hL5E5,2019-04-06 15:23:00.000,3.06,2019-04-06 12:23:59.999
2019-04-06 12:23:00,79.59,UTC-0300,101,2019-04-06 15:24:00.000,1.5,jQfnryI8/B,2019-04-06 15:23:00.000,4.13,2019-04-06 12:24:00.000
2019-04-06 12:24:00,62.74,UTC-0300,103,2019-04-06 15:24:59.999,0.9722222,F/D7+hL5E5,2019-04-06 15:24:00.000,4.02,2019-04-06 12:24:59.999
2019-04-06 12:24:00,79.28,UTC-0300,99,2019-04-06 15:25:00.000,1.5555556,jQfnryI8/B,2019-04-06 15:24:00.000,4.05,2019-04-06 12:25:00.000
2019-04-06 12:25:00,49.389996,UTC-0300,65,2019-04-06 15:26:00.000,1.2786628,jQfnryI8/B,2019-04-06 15:25:00.000,2.7899997,2019-04-06 12:26:00.000
2019-04-06 12:25:00,41.21,UTC-0300,63,2019-04-06 15:25:59.999,1.0833334,F/D7+hL5E5,2019-04-06 15:25:00.000,2.51,2019-04-06 12:25:59.999
2019-04-06 12:26:00,8.359,UTC-0300,12,2019-04-06 15:26:59.999,1.0,F/D7+hL5E5,2019-04-06 15:26:00.000,0.4,2019-04-06 12:26:59.999
2019-04-06 12:26:00,19.5,UTC-0300,24,2019-04-06 15:27:00.000,1.9574589,jQfnryI8/B,2019-04-06 15:26:00.000,1.02,2019-04-06 12:27:00.000
2019-04-06 12:27:00,67.62,UTC-0300,88,2019-04-06 15:28:00.000,1.3611112,jQfnryI8/B,2019-04-06 15:27:00.000,3.58,2019-04-06 12:28:00.000
2019-04-06 12:27:00,57.07,UTC-0300,88,2019-04-06 15:27:59.999,1.0833334,F/D7+hL5E5,2019-04-06 15:27:00.000,3.58,2019-04-06 12:27:59.999
2019-04-06 12:28:00,32.09,UTC-0300,49,2019-04-06 15:28:59.999,1.1111112,F/D7+hL5E5,2019-04-06 15:28:00.000,1.98,2019-04-06 12:28:59.999
2019-04-06 12:28:00,50.07,UTC-0300,62,2019-04-06 15:29:00.000,1.6111112,jQfnryI8/B,2019-04-06 15:28:00.000,2.65,2019-04-06 12:29:00.000
2019-04-06 12:29:00,2.8,UTC-0300,3,2019-04-06 15:30:00.000,2.3611112000000003,jQfnryI8/B,2019-04-06 15:29:00.000,0.13,2019-04-06 12:30:00.000
2019-04-06 12:30:00,30.1,UTC-0300,44,2019-04-06 15:30:59.999,1.1666666,F/D7+hL5E5,2019-04-06 15:30:00.000,1.78,2019-04-06 12:30:59.999
2019-04-06 12:30:00,43.80001,UTC-0300,56,2019-04-06 15:31:00.000,1.4785149,jQfnryI8/B,2019-04-06 15:30:00.000,2.2899997,2019-04-06 12:31:00.000
2019-04-06 13:49:00,41.87,UTC-0300,57,2019-04-06 16:50:00.000,2.0995790000000003,jQfnryI8/B,2019-04-06 16:49:00.000,2.5699997000000003,2019-04-06 13:50:00.000
2019-04-06 13:50:00,6.51,UTC-0300,8,2019-04-06 16:51:00.000,1.75,jQfnryI8/B,2019-04-06 16:50:00.000,0.34,2019-04-06 13:51:00.000
2019-04-06 13:51:00,0.0,UTC-0300,0,2019-04-06 16:52:00.000,0.0,jQfnryI8/B,2019-04-06 16:51:00.000,0.0,2019-04-06 13:52:00.000
2019-04-06 14:42:00,12.0,UTC-0300,15,2019-04-06 17:43:00.000,2.0,jQfnryI8/B,2019-04-06 17:42:00.000,0.65,2019-04-06 14:43:00.000
2019-04-06 14:43:00,17.74,UTC-0300,21,2019-04-06 17:43:59.999,2.25,F/D7+hL5E5,2019-04-06 17:43:00.000,1.24,2019-04-06 14:43:59.999
2019-04-06 14:43:00,34.48,UTC-0300,37,2019-04-06 17:44:00.000,2.3611112000000003,jQfnryI8/B,2019-04-06 17:43:00.000,2.17,2019-04-06 14:44:00.000
2019-04-06 14:44:00,59.4,UTC-0300,76,2019-04-06 17:45:00.000,1.5277778,jQfnryI8/B,2019-04-06 17:44:00.000,3.39,2019-04-06 14:45:00.000
2019-04-06 14:44:00,60.02,UTC-0300,80,2019-04-06 17:44:59.999,1.3333334,F/D7+hL5E5,2019-04-06 17:44:00.000,3.32,2019-04-06 14:44:59.999
2019-04-06 14:45:00,55.68,UTC-0300,89,2019-04-06 17:45:59.999,1.0555556,F/D7+hL5E5,2019-04-06 17:45:00.000,3.46,2019-04-06 14:45:59.999
2019-04-06 14:45:00,73.67,UTC-0300,95,2019-04-06 17:46:00.000,1.3611112,jQfnryI8/B,2019-04-06 17:45:00.000,3.88,2019-04-06 14:46:00.000
2019-04-06 14:46:00,4.47,UTC-0300,7,2019-04-06 17:46:59.999,1.1388888,F/D7+hL5E5,2019-04-06 17:46:00.000,0.26,2019-04-06 14:46:59.999
2019-04-06 14:46:00,1.64,UTC-0300,2,2019-04-06 17:47:00.000,1.8055556,jQfnryI8/B,2019-04-06 17:46:00.000,0.09,2019-04-06 14:47:00.000
2019-04-06 14:47:00,13.58,UTC-0300,19,2019-04-06 17:47:59.999,1.1111112,F/D7+hL5E5,2019-04-06 17:47:00.000,0.79,2019-04-06 14:47:59.999
2019-04-06 14:47:00,16.54,UTC-0300,21,2019-04-06 17:48:00.000,1.3623797,jQfnryI8/B,2019-04-06 17:47:00.000,0.86,2019-04-06 14:48:00.000
2019-04-06 14:49:00,31.32,UTC-0300,47,2019-04-06 17:49:59.999,1.2777778,F/D7+hL5E5,2019-04-06 17:49:00.000,1.81,2019-04-06 14:49:59.999
2019-04-06 14:54:00,46.25,UTC-0300,78,2019-04-06 17:54:59.999,1.0277778,F/D7+hL5E5,2019-04-06 17:54:00.000,3.04,2019-04-06 14:54:59.999
2019-04-06 14:54:00,66.94,UTC-0300,93,2019-04-06 17:55:00.000,1.4955127,jQfnryI8/B,2019-04-06 17:54:00.000,4.9700003,2019-04-06 14:55:00.000
2019-04-06 14:55:00,32.45,UTC-0300,44,2019-04-06 17:56:00.000,1.2777778,jQfnryI8/B,2019-04-06 17:55:00.000,1.79,2019-04-06 14:56:00.000
2019-04-06 14:55:00,60.57,UTC-0300,87,2019-04-06 17:55:59.999,1.25,F/D7+hL5E5,2019-04-06 17:55:00.000,3.56,2019-04-06 14:55:59.999
2019-04-06 14:56:00,23.55,UTC-0300,35,2019-04-06 17:56:59.999,1.0555556,F/D7+hL5E5,2019-04-06 17:56:00.000,1.4,2019-04-06 14:56:59.999
2019-04-06 14:56:00,15.64,UTC-0300,19,2019-04-06 17:57:00.000,1.4444444,jQfnryI8/B,2019-04-06 17:56:00.000,0.96,2019-04-06 14:57:00.000
2019-04-06 14:57:00,8.05,UTC-0300,11,2019-04-06 17:58:00.000,1.1666666,jQfnryI8/B,2019-04-06 17:57:00.000,0.49,2019-04-06 14:58:00.000
2019-04-06 14:57:00,30.14,UTC-0300,38,2019-04-06 17:57:59.999,1.5277778,F/D7+hL5E5,2019-04-06 17:57:00.000,1.58,2019-04-06 14:57:59.999
2019-04-06 14:58:00,52.41,UTC-0300,68,2019-04-06 17:59:00.000,1.3611112,jQfnryI8/B,2019-04-06 17:58:00.000,2.8,2019-04-06 14:59:00.000
2019-04-06 14:58:00,37.1,UTC-0300,66,2019-04-06 17:58:59.999,0.8888889000000001,F/D7+hL5E5,2019-04-06 17:58:00.000,2.52,2019-04-06 14:58:59.999
2019-04-06 14:59:00,28.56,UTC-0300,37,2019-04-06 18:00:00.000,1.3611112,jQfnryI8/B,2019-04-06 17:59:00.000,1.52,2019-04-06 15:00:00.000
2019-04-06 14:59:00,27.19,UTC-0300,41,2019-04-06 17:59:59.999,1.1666666,F/D7+hL5E5,2019-04-06 17:59:00.000,1.67,2019-04-06 14:59:59.999
2019-04-06 15:01:00,24.66,UTC-0300,46,2019-04-06 18:01:59.999,0.8333333,F/D7+hL5E5,2019-04-06 18:01:00.000,1.65,2019-04-06 15:01:59.999
2019-04-06 15:01:00,47.27,UTC-0300,55,2019-04-06 18:02:00.000,1.9166666,jQfnryI8/B,2019-04-06 18:01:00.000,2.98,2019-04-06 15:02:00.000
2019-04-06 15:02:00,41.76,UTC-0300,53,2019-04-06 18:03:00.000,1.5,jQfnryI8/B,2019-04-06 18:02:00.000,2.16,2019-04-06 15:03:00.000
2019-04-06 15:02:00,32.07,UTC-0300,51,2019-04-06 18:02:59.999,1.0277778,F/D7+hL5E5,2019-04-06 18:02:00.000,2.05,2019-04-06 15:02:59.999
2019-04-06 15:03:00,30.98,UTC-0300,40,2019-04-06 18:04:00.000,1.4166666,jQfnryI8/B,2019-04-06 18:03:00.000,1.63,2019-04-06 15:04:00.000
2019-04-06 15:03:00,31.18,UTC-0300,49,2019-04-06 18:03:59.999,1.1111112,F/D7+hL5E5,2019-04-06 18:03:00.000,1.89,2019-04-06 15:03:59.999
2019-04-06 15:07:00,55.57,UTC-0300,82,2019-04-06 18:08:00.000,1.3888888,jQfnryI8/B,2019-04-06 18:07:00.000,3.31,2019-04-06 15:08:00.000
2019-04-06 15:07:00,57.54,UTC-0300,84,2019-04-06 18:07:59.999,1.2222222,F/D7+hL5E5,2019-04-06 18:07:00.000,3.33,2019-04-06 15:07:59.999
2019-04-06 15:08:00,15.44,UTC-0300,20,2019-04-06 18:09:00.000,1.5833334,jQfnryI8/B,2019-04-06 18:08:00.000,0.87,2019-04-06 15:09:00.000
2019-04-06 15:09:00,10.33,UTC-0300,14,2019-04-06 18:09:59.999,0.40723556,F/D7+hL5E5,2019-04-06 18:09:00.000,0.48,2019-04-06 15:09:59.999
2019-04-06 15:09:00,12.7,UTC-0300,14,2019-04-06 18:10:00.000,2.3888888,jQfnryI8/B,2019-04-06 18:09:00.000,0.73,2019-04-06 15:10:00.000
2019-04-06 15:11:00,9.83,UTC-0300,15,2019-04-06 18:11:59.999,1.3888888,F/D7+hL5E5,2019-04-06 18:11:00.000,0.6,2019-04-06 15:11:59.999
2019-04-06 15:13:00,25.97,UTC-0300,36,2019-04-06 18:13:59.999,1.3611112,F/D7+hL5E5,2019-04-06 18:13:00.000,1.5,2019-04-06 15:13:59.999
2019-04-06 15:15:00,26.92,UTC-0300,39,2019-04-06 18:15:59.999,1.1111112,F/D7+hL5E5,2019-04-06 18:15:00.000,1.62,2019-04-06 15:15:59.999
2019-04-06 17:24:00,15.17,UTC-0300,19,2019-04-06 20:25:00.000,1.6944444,jQfnryI8/B,2019-04-06 20:24:00.000,0.81,2019-04-06 17:25:00.000
2019-04-06 17:24:00,20.98,UTC-0300,33,2019-04-06 20:24:59.999,1.25,F/D7+hL5E5,2019-04-06 20:24:00.000,1.23,2019-04-06 17:24:59.999
2019-04-06 17:25:00,25.08,UTC-0300,31,2019-04-06 20:26:00.000,1.7777778000000002,jQfnryI8/B,2019-04-06 20:25:00.000,1.3,2019-04-06 17:26:00.000
2019-04-06 17:25:00,62.19,UTC-0300,85,2019-04-06 20:25:59.999,1.6666666,F/D7+hL5E5,2019-04-06 20:25:00.000,3.41,2019-04-06 17:25:59.999
2019-04-06 17:26:00,76.98,UTC-0300,97,2019-04-06 20:27:00.000,1.5555556,jQfnryI8/B,2019-04-06 20:26:00.000,4.43,2019-04-06 17:27:00.000
2019-04-06 17:26:00,63.65,UTC-0300,94,2019-04-06 20:26:59.999,1.3333334,F/D7+hL5E5,2019-04-06 20:26:00.000,3.63,2019-04-06 17:26:59.999
2019-04-06 17:27:00,9.5,UTC-0300,13,2019-04-06 20:28:00.000,1.5833334,jQfnryI8/B,2019-04-06 20:27:00.000,0.53,2019-04-06 17:28:00.000
2019-04-06 17:27:00,5.88,UTC-0300,9,2019-04-06 20:27:59.999,1.1111112,F/D7+hL5E5,2019-04-06 20:27:00.000,0.36,2019-04-06 17:27:59.999
2019-04-06 17:28:00,33.57,UTC-0300,42,2019-04-06 20:29:00.000,1.8055556,jQfnryI8/B,2019-04-06 20:28:00.000,1.79,2019-04-06 17:29:00.000
2019-04-06 17:28:00,17.03,UTC-0300,26,2019-04-06 20:28:59.999,1.0,F/D7+hL5E5,2019-04-06 20:28:00.000,1.03,2019-04-06 17:28:59.999
2019-04-06 17:29:00,36.47,UTC-0300,46,2019-04-06 20:30:00.000,1.5,jQfnryI8/B,2019-04-06 20:29:00.000,1.89,2019-04-06 17:30:00.000
2019-04-06 17:29:00,39.18,UTC-0300,60,2019-04-06 20:29:59.999,1.1455803999999998,F/D7+hL5E5,2019-04-06 20:29:00.000,2.41,2019-04-06 17:29:59.999
2019-04-06 17:30:00,24.61,UTC-0300,33,2019-04-06 20:31:00.000,1.3888888,jQfnryI8/B,2019-04-06 20:30:00.000,1.6,2019-04-06 17:31:00.000
2019-04-06 17:30:00,40.91,UTC-0300,65,2019-04-06 20:30:59.999,1.1666666,F/D7+hL5E5,2019-04-06 20:30:00.000,2.55,2019-04-06 17:30:59.999
2019-04-06 17:31:00,59.750008,UTC-0300,76,2019-04-06 20:32:00.000,1.4760424,jQfnryI8/B,2019-04-06 20:31:00.000,3.1399999,2019-04-06 17:32:00.000
2019-04-06 17:31:00,56.37,UTC-0300,89,2019-04-06 20:31:59.999,1.0871928,F/D7+hL5E5,2019-04-06 20:31:00.000,3.58,2019-04-06 17:31:59.999
2019-04-06 17:32:00,46.210003,UTC-0300,56,2019-04-06 20:33:00.000,1.7354254,jQfnryI8/B,2019-04-06 20:32:00.000,2.5299995,2019-04-06 17:33:00.000
2019-04-06 17:32:00,35.69,UTC-0300,51,2019-04-06 20:32:59.999,1.25,F/D7+hL5E5,2019-04-06 20:32:00.000,2.14,2019-04-06 17:32:59.999
2019-04-06 17:33:00,36.14,UTC-0300,60,2019-04-06 20:33:59.999,1.4444444,F/D7+hL5E5,2019-04-06 20:33:00.000,2.56,2019-04-06 17:33:59.999
2019-04-06 17:33:00,56.99,UTC-0300,74,2019-04-06 20:34:00.000,1.6944444,jQfnryI8/B,2019-04-06 20:33:00.000,3.08,2019-04-06 17:34:00.000
2019-04-06 17:34:00,50.14,UTC-0300,81,2019-04-06 20:34:59.999,1.1944444,F/D7+hL5E5,2019-04-06 20:34:00.000,3.16,2019-04-06 17:34:59.999
2019-04-06 17:34:00,67.75,UTC-0300,91,2019-04-06 20:35:00.000,1.5292732,jQfnryI8/B,2019-04-06 20:34:00.000,3.9399984,2019-04-06 17:35:00.000
2019-04-06 17:35:00,29.53,UTC-0300,38,2019-04-06 20:35:59.999,1.3611112,F/D7+hL5E5,2019-04-06 20:35:00.000,1.62,2019-04-06 17:35:59.999
2019-04-06 17:35:00,0.38,UTC-0300,1,2019-04-06 20:36:00.000,1.2777778,jQfnryI8/B,2019-04-06 20:35:00.000,0.04,2019-04-06 17:36:00.000
2019-04-06 17:36:00,34.83,UTC-0300,54,2019-04-06 20:36:59.999,1.3333334,F/D7+hL5E5,2019-04-06 20:36:00.000,2.08,2019-04-06 17:36:59.999
2019-04-06 17:36:00,4.5,UTC-0300,6,2019-04-06 20:37:00.000,1.1944444,jQfnryI8/B,2019-04-06 20:36:00.000,0.27,2019-04-06 17:37:00.000
2019-04-06 17:37:00,18.099998,UTC-0300,22,2019-04-06 20:38:00.000,1.83288,jQfnryI8/B,2019-04-06 20:37:00.000,0.91000015,2019-04-06 17:38:00.000
2019-04-06 17:38:00,14.34,UTC-0300,23,2019-04-06 20:38:59.999,1.0833334,F/D7+hL5E5,2019-04-06 20:38:00.000,0.91,2019-04-06 17:38:59.999
2019-04-06 17:38:00,26.690004,UTC-0300,33,2019-04-06 20:39:00.000,1.6934773,jQfnryI8/B,2019-04-06 20:38:00.000,1.3600001,2019-04-06 17:39:00.000
2019-04-06 17:39:00,9.77,UTC-0300,18,2019-04-06 20:39:59.999,0.5833333,F/D7+hL5E5,2019-04-06 20:39:00.000,0.7,2019-04-06 17:39:59.999
2019-04-06 17:39:00,4.37,UTC-0300,6,2019-04-06 20:40:00.000,1.0277778,jQfnryI8/B,2019-04-06 20:39:00.000,0.27,2019-04-06 17:40:00.000
2019-04-06 17:40:00,4.54,UTC-0300,6,2019-04-06 20:41:00.000,2.8611112000000003,jQfnryI8/B,2019-04-06 20:40:00.000,0.27,2019-04-06 17:41:00.000
2019-04-06 18:02:00,41.43,UTC-0300,52,2019-04-06 21:03:00.000,1.6243604,jQfnryI8/B,2019-04-06 21:02:00.000,2.17,2019-04-06 18:03:00.000
2019-04-06 18:02:00,28.14,UTC-0300,46,2019-04-06 21:02:59.999,1.1111112,F/D7+hL5E5,2019-04-06 21:02:00.000,1.81,2019-04-06 18:02:59.999
2019-04-06 18:03:00,10.38,UTC-0300,14,2019-04-06 21:03:59.999,1.3055556,F/D7+hL5E5,2019-04-06 21:03:00.000,0.58,2019-04-06 18:03:59.999
